Role Family,Role,Role Description,Role Level,Role Level Description,Skill Name,Skill Description,Skill Level,Skill Level Description,Role Type
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.",Working,"You can:
- manage service components to ensure they meet business needs and key performance indicators (KPIs)",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Development process optimisation,Process optimisation involves ensuring your processes are accurately defined and capture the most efficient way to complete a task by monitoring modified procedures.,Awareness,"You can:
- explain the importance of developing process efficiency and the common ways in which processes are optimised
- support specific activities to improve development processes
- identify obvious deficiencies",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Information security,"Information security involves maintaining the security, confidentiality and integrity of information.",Practitioner,"You can:
- design solutions and services with security controls included, specifically engineered to mitigate security threats",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Modern development standards,Modern development standards involves using the latest technologies and best practices to improve the quality of the software development process.,Working,"You can:
- explain the most important principles of modern development standards and how they apply to your work
- apply apply modern development standards principles under guidance",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Programming and build (software engineering),MISSING,Practitioner,"You can:
- collaborate with others when necessary to review specifications
- use the agreed specifications to design, code, test and document programs or scripts of medium-to-high complexity, using the right standards and tools",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.",Practitioner,"You can:
- approach prototyping as a team activity, actively soliciting prototypes and testing with others
- establish design patterns and iterate them
- use a variety of prototyping methods and choose the most appropriate",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Service support,"Service support involves fixing service faults and maintaining the underlying infrastructure, ensuring processes are in place to keep the service running efficiently.",Practitioner,"You can:
- identify, locate and fix service faults",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Systems design,Systems design involves creating the specification and design of systems to meet defined business needs.,Working,"You can:
- translate logical designs into physical designs
- produce detailed designs
- effectively document all work using required standards, methods and tools, including prototyping tools where appropriate
- design systems characterised by managed levels of risk, manageable business and technical complexity, and meaningful impact
- work with well understood technology and identify appropriate patterns",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",Systems integration,"Systems integration involves identifying points of connection between different systems and processes, or opportunities to combine them, and designing how the components communicate.",Working,"You can:
- build and test simple interfaces between systems
- work on more complex integration as part of a wider team",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",DevOps engineer,"A DevOps engineer delivers automated software components that form part of a development operations toolchain.

At this role level, you will:
- transform technical requirements into DevOps processes
- build complex stories without additional support
- manage live test environments
- identify and resolve issues that are preventing delivery",User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,Working,"You can:
- identify and engage with users or stakeholders to collate user needs evidence
- understand and define research that fits user needs
- use quantitative and qualitative data about users to turn user focus into outcomes",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.",Awareness,"You can:
- explain availability and capacity management processes",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Information security,"Information security involves maintaining the security, confidentiality and integrity of information.",Working,"You can:
- use information security practices and available security controls to contribute to protecting solutions and services",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Modern development standards,Modern development standards involves using the latest technologies and best practices to improve the quality of the software development process.,Working,"You can:
- explain the most important principles of modern development standards and how they apply to your work
- apply apply modern development standards principles under guidance",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Programming and build (software engineering),MISSING,Working,"You can:
- design, code, test, correct and document simple programs or scripts under the direction of others",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.",Working,"You can:
- understand when to use a specific prototyping technique or method
- show the value of prototyping to your team",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Service support,"Service support involves fixing service faults and maintaining the underlying infrastructure, ensuring processes are in place to keep the service running efficiently.",Working,"You can:
- help fix service faults following agreed procedures
- carry out maintenance tasks on service support infrastructure",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Systems design,Systems design involves creating the specification and design of systems to meet defined business needs.,Awareness,"You can:
- assist as part of a team in the design of components of larger systems",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",Systems integration,"Systems integration involves identifying points of connection between different systems and processes, or opportunities to combine them, and designing how the components communicate.",Awareness,"You can:
- explain the process and principles of integrating systems. 
- describe challenges of designing, building and testing interfaces between systems",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Junior DevOps engineer,"A junior DevOps engineer learns on the job by building software components.

At this role level, you will:
- assist in the building of a complex story
- work under supervision
- be involved in implementation but not planning",User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,Awareness,"You can:
- show an awareness or understanding of user experience analysis and its principles
- explain the purpose of user stories and the focus on user needs",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.",Working,"You can:
- manage service components to ensure they meet business needs and key performance indicators (KPIs)",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Development process optimisation,Process optimisation involves ensuring your processes are accurately defined and capture the most efficient way to complete a task by monitoring modified procedures.,Working,"You can:
- work under guidance to identify process optimisation opportunities
- contribute to the implementation of proposed solutions",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Information security,"Information security involves maintaining the security, confidentiality and integrity of information.",Practitioner,"You can:
- design solutions and services with security controls included, specifically engineered to mitigate security threats",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Modern development standards,Modern development standards involves using the latest technologies and best practices to improve the quality of the software development process.,Expert,"You can:
- identify and apply modern development standards to support complex projects and programmes
- lead others in applying modern development standards",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Programming and build (software engineering),MISSING,Practitioner,"You can:
- collaborate with others when necessary to review specifications
- use the agreed specifications to design, code, test and document programs or scripts of medium-to-high complexity, using the right standards and tools",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.",Practitioner,"You can:
- approach prototyping as a team activity, actively soliciting prototypes and testing with others
- establish design patterns and iterate them
- use a variety of prototyping methods and choose the most appropriate",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Service support,"Service support involves fixing service faults and maintaining the underlying infrastructure, ensuring processes are in place to keep the service running efficiently.",Expert,"You can:
- identify, locate and fix complex service faults
- advise others on different methodologies and types of service support",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Systems design,Systems design involves creating the specification and design of systems to meet defined business needs.,Practitioner,"You can:
- design systems characterised by medium levels of risk, impact, and business or technical complexity
- select appropriate design standards, methods and tools, and ensure they are applied effectively
- review the systems designs of others to ensure the selection of appropriate technology, efficient use of resources and integration of multiple systems and technology",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Systems integration,"Systems integration involves identifying points of connection between different systems and processes, or opportunities to combine them, and designing how the components communicate.",Expert,"You can:
- establish standards and procedures across a service product life cycle, including the development product life cycle, and can ensure that practitioners adhere to these
- manage resources to ensure that the systems integration function works effectively",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,Practitioner,"You can:
- collaborate with user researchers and can represent users internally
- explain the difference between user needs and the desires of the user
- champion user research to focus on all users
- prioritise and define approaches to understand the user story, guiding others in doing so
- offer recommendations on the best tools and methods to use",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.",Practitioner,"You can:
- ensure the correct implementation of availability and capacity management standards and procedures
- identify capacity issues and implement the required changes
- initiate remedial action",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Development process optimisation,Process optimisation involves ensuring your processes are accurately defined and capture the most efficient way to complete a task by monitoring modified procedures.,Practitioner,"You can:
- analyse current processes
- identify and implement opportunities to optimise processes
- lead and develop a team of experts to deliver service improvements
- help to evaluate and establish requirements for the implementation of changes by setting policy and standards",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Information security,"Information security involves maintaining the security, confidentiality and integrity of information.",Practitioner,"You can:
- design solutions and services with security controls included, specifically engineered to mitigate security threats",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Modern development standards,Modern development standards involves using the latest technologies and best practices to improve the quality of the software development process.,Expert,"You can:
- identify and apply modern development standards to support complex projects and programmes
- lead others in applying modern development standards",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Programming and build (software engineering),MISSING,Practitioner,"You can:
- collaborate with others when necessary to review specifications
- use the agreed specifications to design, code, test and document programs or scripts of medium-to-high complexity, using the right standards and tools",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.",Practitioner,"You can:
- approach prototyping as a team activity, actively soliciting prototypes and testing with others
- establish design patterns and iterate them
- use a variety of prototyping methods and choose the most appropriate",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Service support,"Service support involves fixing service faults and maintaining the underlying infrastructure, ensuring processes are in place to keep the service running efficiently.",Practitioner,"You can:
- identify, locate and fix service faults",
Software development,Development operations (DevOps) engineer,"Commonly referred to as ‘DevOps engineers’, development operations engineers support the development and operation of software through tools, environments and practices.
In this role, you will be responsible for underpinning good development processes including managing tools and testing environments, central code control, maintaining development standards and writing software that automates systems.",Lead DevOps engineer - management,"A lead DevOps engineer leads one or a small number of related project teams and contributes to the development of the strategic direction.

At this role level, you will:
- act as a technical product owner, developing medium to long term strategies for product lines
- provide technical leadership and guidance through coaching and mentoring
- lead the sharing of knowledge and good practice
There are 2 different roles at this level - a technical role and a management role.",Systems design,Systems design involves creating the specification and design of systems to meet defined business needs.,Practitioner,"You can:
- design systems characterised by medium levels of risk, impact, and business or technical complexity
- select appropriate design standards, methods and tools, and ensure they are applied effectively
- review the systems designs of others to ensure the selection of appropriate technology, efficient use of resources and integration of multiple systems and technology",
