Skill Name,Skill Description,Awareness,Working,Practitioner,Expert,Roles that require Skill
Stakeholder relationship management (content design),"Stakeholder relationship management involves managing stakeholder requirements and communications throughout a project, while remaining focused on the user needs.","You can:
- understand who your stakeholders are, what evidence is relevant to them and the importance of managing relationships with them","You can:
- identify important stakeholders and communicate with them clearly and regularly
- tailor communication to stakeholders' needs and work with them to build relationships, while also meeting user needs
- build and reach consensus
- work to improve stakeholder relationships, using evidence to explain decisions made","You can:
- negotiate with and influence stakeholders, and manage relationships effectively
- influence decisions, deal with challenging situations and remove blockers
- build long-term strategic relationships and communicate clearly and regularly with stakeholders, supporting mutual needs and commitments while focusing on user needs","You can:
- manage long-term strategic relationships with stakeholders, identifying where new connections need to be made and existing ones nurtured
- direct the strategic approach for stakeholder relationships, establishing stakeholder objectives and ensuring these are clearly represented
- act as a point of escalation if stakeholder relationships break down or become challenging for more junior members of the team
- influence important senior stakeholders and arbitrate when blockers are escalated
- facilitate discussions across high risk and complex areas or projects under constrained timelines",Content designer
Stakeholder relationship management (IT operations),"Stakeholder relationship management involves managing stakeholder requirements and communications throughout a project, while remaining focused on the user needs.","You can:
- understand who your stakeholders are, what evidence is relevant to them and the importance of managing relationships with them","You can:
- identify important stakeholders and communicate with them clearly and regularly
- tailor communication to stakeholders' needs and work with them to build relationships, while also meeting user needs
- build and reach consensus
- work to improve stakeholder relationships, using evidence to explain decisions made","You can:
- negotiate with and influence stakeholders, and manage relationships effectively
- influence decisions, deal with challenging situations and remove blockers
- build long-term strategic relationships and communicate clearly and regularly with stakeholders, supporting mutual needs and commitments while focusing on user needs","You can:
- manage long-term strategic relationships with stakeholders, identifying where new connections need to be made and existing ones nurtured
- direct the strategic approach for stakeholder relationships, establishing stakeholder objectives and ensuring these are clearly represented
- act as a point of escalation if stakeholder relationships break down or become challenging for more junior members of the team
- influence important senior stakeholders and arbitrate when blockers are escalated
- facilitate discussions across high risk and complex areas or projects under constrained timelines","Business relationship manager, IT service manager"
Strategic cyber security planning,"You can:
- determine the right balance between the organisation's cyber and information security capabilities, acceptable level of risk and speed of technology progress
- decide areas that need security investment
- create a security roadmap that enables the organisation to achieve its objectives
Examples of leadership using this skill:
- explaining the mutual benefits of the security strategy to a range of stakeholders and teams to bring them onboard
- advising other leaders on how to integrate security requirements in their strategies
- ensuring security is part of all the organisation's initiatives, despite competing priorities
- gaining support for investment in security from other leaders",,,,,Chief information security officer
Strategic data planning,"You can:
- develop an organisational data strategy that supports the organisation’s objectives
- identify underlying causes of data challenges faced by other leaders and make strategic recommendations to resolve them
- decide what data technologies and changes are needed to better support organisational strategy
Examples of leadership using this skill:
- aligning the data strategy and organisational strategy to create shared direction and increased trust
- changing operations in the organisation to be more aware of, and driven by, data
- changing the organisation’s view of data so it is viewed as an asset, not a risk or liability",,,,,Chief data officer
Strategic design and business change,Strategy involves creating a plan to achieve a team or organisation's objectives.,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- demonstrate a good understanding of business issues, events and activities, and their short to long term impact
- support defining principles, patterns, standards, policies, roadmaps and vision statements
- effectively focus on outcomes rather than solutions
- help to develop, maintain or update strategy in response to feedback and findings","You can:
- demonstrate a strong understanding of business issues, events and activities and their short to long term impact
- define principles, patterns, standards, policies, roadmaps and vision statements
- effectively focus on outcomes rather than solutions and activities
- develop, maintain or update strategy in response to feedback and findings",Business architect
Strategic ownership,"Strategic ownership involves thinking holistically, and creating and owning an end to end plan to achieve set objectives.","You can:
- explain how you make decisions that are aligned to the strategy of your organisation
- explain the importance of having a strategy","You can:
- engage and work with users, stakeholders and others to develop a strategy and vision
- ensure the strategy sets out the value, benefits and outcomes needed to justify investment in the feature, product or service
- regularly review and iterate the strategy","You can:
- ensure that the vision and strategy deliver the intended benefits and policy intent, and use evidence to challenge this when needed
- work with stakeholders to get agreement on the strategic approach, build trust and adapt based on feedback
- proactively review and iterate the strategy based on user and organisation insights","You can:
- support and coach others in creating and implementing a successful long-term strategy and tactical approach that others agree with
- influence and persuade stakeholders to support delivery of the strategy
- support with strategic decision making
- ensure strategic alignment across the organisation","Product manager, Service owner"
Strategic technology planning,"You can:
- determine the most appropriate technologies to achieve the organisation’s objectives
- assess the effect of changes on different parts of the organisation and its partners
- identify underlying causes of technology challenges faced by other leaders and make strategic recommendations to resolve them
Examples of leadership using this skill:
- inspiring people with your vision so they support a more effective technology strategy
- helping other leaders prioritise a strategic technical direction over immediate tactical concerns
- educating colleagues about the potential benefits of chosen technologies
- earning the trust of stakeholders who are invested in specific technologies so that they agree to change",,,,,Chief technology officer
Strategic thinking,Strategic thinking involves creating a plan to achieve a team or organisation's objectives.,"You can:
- explain the strategic context of your work and why it is important
- support strategic planning in an administrative capacity","You can:
- work within a strategic context and communicate how activities meet strategic goals
- contribute to the development of strategy and policies","You can:
- define strategies and policies, providing guidance to others on working in the strategic context
- evaluate current strategies to ensure business requirements are being met and exceeded where possible","You can:
- lead the design and implementation of strategy, directing the evaluation of strategies and policies to ensure business requirements are being met","Business architect, Data architect, Data governance manager, Content strategist, Technical writer, Digital portfolio manager, Frontend developer, Business relationship manager, IT service manager"
Strategic thinking (content design),Strategy involves creating a plan to achieve a team or organisation's objectives.,"You can:
- show an awareness of the strategic context of your work and understand why it is important
- support strategic planning in an administrative capacity","You can:
- support the creation and development of strategies and policies
- contribute to iterating and improving processes and guidelines
- understand how activities meet strategic goals","You can:
- contribute to content strategies and policies
- create content patterns or standards
- provide support for content improvement projects
- effectively focus on outcomes rather than solutions and activities","You can:
- help lead the design and implementation of strategies, evaluating their impact and progress to ensure business objectives and the needs of users are being met
- lead and direct strategic content improvement projects, focusing effort in the areas of greatest priority and ensuring goals and objectives are met",Content designer
Strategy design,Strategy involves creating a plan to achieve a team or organisation's objectives.,"You can:
- explain how organisational objectives link to designing strategy
- describe the purpose and application of strategy, standards, patterns, policies, roadmaps, vision, and mission statements","You can:
- support the development of a strategy or vision that aligns with organisational objectives
- challenge requirements and assumptions, and identify opportunities to develop strategy
- support the implementation of a strategy or vision, for example, by using a roadmap or plan
- use architectural principles, patterns, and constraints when appropriate","You can:
- define strategies or visions across teams that align with organisational objectives
- direct the implementation of a strategy or vision, for example, by creating roadmaps or plans
- define architectural principles and patterns
- develop or maintain strategy in response to feedback and findings","You can:
- define and connect strategies or visions across the organisation or wider government
- enable the implementation of strategies or visions across the organisation or wider government, for example, by advocating for resources and removing blockers","Enterprise architect, Solution architect, Technical architect"
Systems analysis,"IT systems analysis involves assessing current systems and implementing new ones, to improve the performance and efficiency of an organisation's applications.","You can:
- support the analysis of IT system capabilities and work under supervision to identify and specify system requirements
- support the development of specifications and models for bespoke IT systems or software packages","You can:
- identify and analyse IT system capabilities
- develop models and system requirements for bespoke IT systems or software packages, with minimal supervision","You can:
- lead the identification and analysis of IT system capabilities, developing models and system requirements
- use systems analysis to support a deeper understanding of how processes and systems work, and to identify gaps
- work with other digital professionals to design and develop system and user interfaces, identify gaps in functionality and assess the effect of proposed software changes on users or the organisation","You can:
- set the direction for the identification and analysis of IT system capabilities
- identify gaps in functionality and enable others to explore and assess the effect of software changes
- demonstrate a strong understanding of business perspectives and technical concepts, and can bring them together to form recommendations and a common understanding
- communicate this effectively between users, development teams and external suppliers",Business analyst
Systems design,Systems design involves creating the specification and design of systems to meet defined business needs.,"You can:
- assist as part of a team in the design of components of larger systems","You can:
- translate logical designs into physical designs
- produce detailed designs
- effectively document all work using required standards, methods and tools, including prototyping tools where appropriate
- design systems characterised by managed levels of risk, manageable business and technical complexity, and meaningful impact
- work with well understood technology and identify appropriate patterns","You can:
- design systems characterised by medium levels of risk, impact, and business or technical complexity
- select appropriate design standards, methods and tools, and ensure they are applied effectively
- review the systems designs of others to ensure the selection of appropriate technology, efficient use of resources and integration of multiple systems and technology","You can:
- design systems characterised by high levels of risk, impact, and business or technical complexity
- control system design practice within an enterprise or industry architecture
- influence industry-based models for the development of new technology applications
- develop effective implementation and procurement strategies, consistent with business needs
- ensure adherence to relevant technical strategies, policies, standards and practices","Network architect, Development operations (DevOps) engineer, Software developer, Infrastructure engineer"
Systems design (frontend developer),,"You can:
- assist as part of a team in the design of components of larger systems","You can:
- translate agreed designs into working user interfaces following modern standards
- manage and document technical complexity to make sure work is easily maintained and reusable","You can:
- translate agreed designs into working user interfaces following modern standards
- manage and document technical complexity to make sure work is easily maintained and reusable
- work with well-understood technology and can identify appropriate patterns to make effective use of technologies’ best features","You can:
- design systems characterised by high levels of risk and technical complexity
- manage and document technical complexity to make sure work is easily maintained and reusable
- select the appropriate standards, methods and tools, and make sure they are applied effectively
- ensure others follow relevant technical strategies, policies, standards and practices
- work with well understood technology and can identify appropriate patterns to make effective use of technologies’ best features",Frontend developer
Systems integration,"Systems integration involves identifying points of connection between different systems and processes, or opportunities to combine them, and designing how the components communicate.","You can:
- explain the process and principles of integrating systems. 
- describe challenges of designing, building and testing interfaces between systems","You can:
- build and test simple interfaces between systems
- work on more complex integration as part of a wider team","You can:
- define the integration build
- co-ordinate build activities across systems
- understand how to undertake and support integration testing activities","You can:
- establish standards and procedures across a service product life cycle, including the development product life cycle, and can ensure that practitioners adhere to these
- manage resources to ensure that the systems integration function works effectively","Network architect, Machine learning engineer, Development operations (DevOps) engineer, Software developer, Infrastructure engineer"
Systems integration (frontend developer),,"You can:
- show an awareness of how to build static assets from source code
- explain how browsers use and present static assets to the end users, and how different versions of an interface can be delivered for different browsers and devices","You can:
- build static assets from source code and test that the resulting user interface works as expected when delivered over the internet
- work on integration tests and support configuration of the network part of the system as part of a wider team","You can:
- define the static assets build
- co-ordinate all aspects of the integration and take responsibility for the tests around the user interface
- configure the part of the system that uses the network and test that it works as expected",This skill level is currently not defined.,Frontend developer
Team dynamics and collaboration,,"You can:
- explain the importance of team dynamics, collaboration and empowering delivery teams
- understand the importance of feedback","You can:
- effectively bring people together to form a motivated team
- help to create the right environment for a team to work in and can empower them to deliver
- recognise and deal with issues
- help create the best team makeup depending on the situation","You can:
- identify problems or issues in the team dynamic and rectify them
- identify issues through Agile ‘health checks’ with the team, and help to stimulate the right responses
- engage in varying types of feedback, choosing the right type at the appropriate time and ensuring the discussion and decision stick
- accelerate the team development cycle","You can:
- change organisational structures to fixable and sustainable designs
- lead on strategy for an entire organisation, joining up business needs with innovative analysis
- make and justify decisions characterised by high levels of risk, impact and complexity
- effectively build consensus between organisations (private or public) or highly independent and diverse stakeholders
- solve and unblock issues within teams or departments at the highest level
- understand the psychology of a team and have strong mediation skills
- coach an organisation on team dynamics and conflict resolution",Delivery manager
Technical design throughout the life cycle,,"You can:
- explain the purpose of creating a technical design that describes a solution
- explain the decisions in an existing technical design","You can:
- create technical designs characterised by managed levels of risk, impact, and complexity
- provide guidance and support to teams using technical designs throughout the life cycle
- adapt a technical design if needed during delivery
- work with well-understood technology and identify appropriate patterns","You can:
- create technical designs characterised by medium risk, impact, and complexity
- maintain appropriate quality and architectural coherence of a technical design in response to change
- use feedback to optimise and refine technical designs throughout the life cycle","You can:
- create technical designs characterised by high risk, impact, and complexity
- lead and guide others in creating technical designs that achieve organisational objectives
- use feedback to optimise and refine standards for technical designs throughout the life cycle","Solution architect, Technical architect"
Technical specialism,,"You can:
- assist in technical support activities and carry out agreed or routine maintenance and administration tasks","You can:
- use management system software and tools
- use logical schemata to investigate problems, collect performance statistics and create reports
- carry out the routine configuration, installation and reconfiguration of database and related products
- optimise performance and forecast resource needs","You can:
- draft and maintain procedures and documentation
- set standards for the definition, security and integrity of objects, and ensure conformity to these standards","You can:
- understand the direction of future technologies
- deliver a model to support and maintain those future technologies and any databases that coexist in the current environment","Application operations engineer, End user computing engineer, Infrastructure operations engineer"
Technical understanding,,"You can:
- show an awareness of the relevant subject matter and a high level understanding of what it involves","You can:
- understand the core technical concepts related to the role, and apply them with guidance","You can:
- show a thorough understanding of the technical concepts required for the role, and can explain how these fit into the wider technical landscape","You can:
- anticipate and advise on future technology changes that present opportunities for the product or programme","Data engineer, Network architect, Application operations engineer, Business relationship manager, Problem manager, Service desk manager, Incident manager, IT service manager, Command and control centre manager, End user computing engineer, Infrastructure engineer, Infrastructure operations engineer"
Technical understanding (accessibility),"Accessibility involves ensuring your service can be used by as many people as possible, including those with impaired vision, motor difficulties, cognitive impairments, learning disabilities and deafness.",This skill level is currently not defined.,"You can:
- demonstrate knowledge of some details of the standards and legislation, and know where to find more information
- demonstrate knowledge of basic HTML, CSS, and JavaScript and related common accessibility issues
- perform basic automated and manual checks on websites and documents, and can communicate findings and fixes
- be an advocate for the people affected by accessibility barriers within the context of your work
- demonstrate knowledge of using some assistive technology","You can:
- demonstrate knowledge and communicate the requirements of accessibility standards and legislation
- advocate appropriate technical solutions to a range of accessibility issues
- perform detailed audits of websites, services and documents, and document findings clearly for others to work from
- be an advocate for the people affected by accessibility barriers across the department
- provide introductory awareness and training about accessibility
- demonstrate confidence using one or more assistive technologies, and knowledge of others","You can:
- demonstrate excellent knowledge of accessibility standards and legislation, including edge cases
- communicate requirements to a range of stakeholders
- actively share a deep knowledge of how to select and use appropriate technology (such as ARIA, Accessible Rich Internet Applications) to provide an excellent experience
- perform detailed audits of websites, services and documents, document findings clearly, and provide solutions for others to work from
- understand and communicate how usability influences accessibility, and the boundary between them
- advocate removing barriers across all your interactions
- provide training on a range of accessibility issues
- demonstrate confidence using a range of assistive technologies",Accessibility specialist
Technical understanding (performance analyst),"Performance measurement involves collecting and interpreting data to identify how a team, product or service is performing.","You can:
- show an awareness of analytical tools and technologies, and can use some of them
- show an awareness of digital technology, and have an understanding of what it involves and its impact","You can:
- show an understanding of the core technical concepts related to the role, and can apply them","You can:
- show a deep understanding of the technical concepts required for the role and understand how they fit into the wider technical landscape
- understand the limitations of digital technology","You can:
- identify opportunities to use new digital technologies to enhance analytical capability in alignment with business goals","Performance analyst, Technical writer"
Technical understanding (user-centred design),,"You can:
- demonstrate some knowledge of the technologies and roles within a digital team","You can:
- demonstrate some knowledge of the technologies used to build and operate digital services
- understand the different technical roles in a digital team","You can:
- demonstrate knowledge of the technologies used to build and operate digital services
- collaborate closely with colleagues in different digital disciplines",This skill level is currently not defined.,Technical writer
Technology architecture,"You can:
- ensure technical architecture, including programme platforms and shared infrastructure, reflects the technical structures needed to achieve the organisation's objectives
- ensure the organisation uses and shares the appropriate technology architecture at the appropriate time
- make architectural decisions for the organisation taking into account costs, functionality, skills and other factors
Examples of leadership using this skill:
- working with different areas of the organisation to ensure the architecture works for everyone and any change is accepted
- convincing teams to exchange some autonomy for better functioning as an organisation
- overseeing decisions on technical architecture to ensure the best use of technology for the organisation",,,,,Chief technology officer
Technology evaluation,"You can:
- evaluate the advantages and disadvantages of a wide range of significant previous, current and potential technologies
- assess if the organisation has the most appropriate technologies to achieve its goals
- quickly assess unfamiliar technology for potential use in your organisation
Examples of leadership using this skill:
- building credibility with people at all levels of your organisation by demonstrating your knowledge of different technologies
- effectively explaining benefits and risks of unfamiliar technology so that technical and non-technical stakeholders can make informed decisions
- guiding decisions on technology solutions made by stakeholders with different agendas and different levels of technical understanding",,,,,Chief technology officer
Test analysis,"Test analysis involves analysing information, such as requirements, user stories, designs and specifications, to identify and understand how to act on quality risks.","You can:
- describe quality characteristics and explain why they are important
- analyse information, such as user stories, prototypes, processes and designs, with support
- explain what might be a risk in achieving quality goals","You can:
- work with stakeholders to determine which functional and non-functional quality characteristics add value
- determine what to test following an agreed approach
- identify and advocate for test needs, such as data, access and environments, with support
- analyse information to identify risks","You can:
- lead work with stakeholders across teams to determine which functional and non-functional quality characteristics add value
- determine if an approach needs to change based on effort and risk
- ensure test needs are implemented early
- use multiple techniques to analyse complex information to identify risks
- coach others in test analysis","You can:
- lead and guide multiple teams in test analysis, ensuring it is implemented early in the life cycle
- advocate for risk-based analysis to drive improvements across many teams
- set standards and principles for test analysis across the organisation","Quality assurance test analyst, Test engineer, Test manager"
Test and quality planning,"Test and quality planning involves creating, following and adapting quality testing activities to ensure the quality of products, services and programmes.","You can:
- explain the value of quality testing approaches, plans and strategies
- explain how different delivery methodologies affect quality testing approaches, plans and strategies
- follow quality testing approaches, plans and strategies, with support
- explain how to measure the effectiveness of quality testing approaches, plans and strategies, and why it’s important","You can:
- create or adapt quality testing approaches based on risk, with some support
- follow a quality testing strategy and contribute to its development
- contribute to continuous improvement of quality testing approaches, plans and strategies","You can:
- work with teams to develop and implement appropriate quality testing approaches, plans and strategies
- contribute to organisational quality testing strategies
- implement ways to capture data to drive continuous improvement of quality testing approaches, plans and strategies
- advocate for full team ownership of quality testing activities, encouraging early engagement","You can:
- create and manage multiple quality testing plans, approaches and strategies
- lead and guide multiple teams in adopting quality testing strategy
- advocate for early quality testing involvement in organisational delivery processes
- guide teams across an organisation in optimising quality testing approaches, plans and strategies by using appropriate data","Quality assurance test analyst, Test engineer, Test manager"
Test engineering,Test engineering involves developing test automation solutions that enable fast feedback on quality characteristics.,"You can:
- explain why testing processes, environments and tools are important
- follow test engineering practices and standards, with support
- support the maintenance of automated tests and tools required for testing","You can:
- use test engineering frameworks and tools to support testing activities
- follow test engineering practices and standards, such as source control and CI/CD pipelines
- integrate and execute tests to ensure early testing and continuous feedback
- create and maintain automated tests, with some support
- write and review coded solutions, with some support","You can:
- develop, standardise and extend reusable frameworks and tools to support a range of testing activities
- guide and coach others in creating and maintaining comprehensive and reliable tests that meet standards
- research and prepare for future testing needs, including tools, methodologies and techniques
- maintain and adapt CI/CD pipelines","You can:
- establish and lead test engineering practices, standards and behaviours
- influence and guide test engineering technology and tool choices across the organisation
- advocate for the adoption and use of appropriate testing solutions, ensuring alignment with organisational goals and quality objectives","Quality assurance test analyst, Test engineer, Test manager"
Testing,Testing involves ensuring that requirements have been fully met by using appropriate tools and techniques to verify that a product or service works.,"You can:
- correctly execute test scripts under supervision
- understand the role of testing and how it works","You can:
- review requirements and specifications, and define test conditions
- identify issues and risks associated with work
- analyse and report test activities and results","You can:
- manage the planning of system and acceptance tests, co-ordinating both functional and non-functional specifications
- provide authoritative advice and guidance on test planning
- identify process improvements and contribute to the definition of best practice","You can:
- manage testing activities within development or integration activities
- manage risks and take preventative action when risks become unacceptable
- manage customer relations","Analytics engineer, Data engineer, Accessibility specialist, Application operations engineer, End user computing engineer, Infrastructure operations engineer"
Testing (business analysis),Testing involves ensuring that requirements have been fully met by using appropriate tools and techniques to verify that a product or service works.,"You can:
- understand the stages and purpose of testing and have an awareness of tools and techniques used
- work under supervision to support the representation of business scenarios and to trace requirements to develop functionality","You can:
- understand the stages and purpose of testing and support the use of relevant tools and techniques
- identify business scenarios and develop acceptance criteria to ensure requirements can be traced to develop functionality
- review prototypes, test plans and test outcome reporting","You can:
- recommend the value of testing and apply the relevant tools and techniques to ensure test validity
- advise on business scenarios and develop acceptance criteria to ensure requirements can be traced to develop functionality
- review prototypes, test plans and test outcome reporting",This skill level is currently not defined.,Business analyst
Troubleshooting and problem resolution,,"You can:
- show an awareness of different technology capabilities
- demonstrate basic troubleshooting capability","You can:
- troubleshoot and identify problems across different technology capabilities","You can:
- break a problem down into its component parts to identify and diagnose root causes
- troubleshoot and identify problems across different technology capabilities","You can:
- use lateral thinking to break a problem down into its component parts to identify and diagnose root causes
- troubleshoot and identify problems across different technology capabilities including computing, storage, networking, physical infrastructure, software, commercial-off-the-shelf software (COTS) and open source software","Network architect, Infrastructure engineer"
Turning business problems into data design,,"You can:
- contribute to the design of data architecture under the direction of others","You can:
- design data architecture by dealing with specific business problems and aligning it to enterprise-wide standards and principles
- work within the context of well understood architecture, and identify appropriate patterns","You can:
- design data architecture that deals with problems spanning different business areas
- identify links between problems to devise common solutions
- work across multiple subject areas, or a single large or complicated subject area
- produce appropriate patterns","You can:
- design data architecture that deals with problems across the enterprise
- work across all organisational subject areas and internal and external programmes","Analytics engineer, Data architect"
Understanding analysis across the product life cycle,,"You can:
- describe the importance of performance measures, their relation to business objectives and how they vary at different stages of the product life cycle","You can:
- understand how the needs of the team and product vary across the product life cycle
- ensure the team is measuring performance as appropriate for the relevant service standard phase
- manage the delivery of services or products at different phases
- plan and look at data requirements in future phases","You can:
- apply experience in multiple parts of the product life cycle
- recognise when to move forward and when to stop
- recognise the appropriate deliverables and engage the right people to meet them
- work with other Agile delivery disciplines throughout the product life cycle
- plan and proactively engage with stakeholders at the appropriate stage of the project
- identify which tools and techniques should be used at each stage","You can:
- develop sustainable support models
- identify and deal with potential risks across or between all stages of the product life cycle
- coach others
- contribute to the assessment of other teams, providing guidance and support as they move through the product life cycle phases
- lead and champion best practice, and identify improvements to current approaches",Performance analyst
Understanding product delivery,"Product delivery involves ensuring that a product or service is developed in a timely and cost-effective way, meeting the user needs.","You can:
- manage your contribution to tasks to fit in with the work of your wider team","You can:
- show an awareness of the differences between delivery methods, such as Agile and waterfall, and can propose the most appropriate method to deliver each product
- manage your contribution to tasks to fit in with the work of your wider team","You can:
- understand the differences between delivery methods, such as Agile and waterfall, and can choose the most appropriate method to deliver each product
- define the minimum viable product (MVP) and support decisions about priorities
- work with specialists in multidisciplinary teams to smoothly deliver data science products into the organisation","You can:
- understand the differences between delivery methods, such as Agile and waterfall, and can set out how your team should use and adapt these methods
- lead a team through the different phases of the product delivery life cycle
- collaborate with the product manager to influence the direction of work
- identify and involve relevant teams to smoothly deliver data science products into the organisation, ensuring these products inform decision making
- ensure products are monitored, maintained and continually improved, engaging and working with others where necessary
- have oversight of any data science features implemented within products or services",Data scientist
Understanding security implications of transformation,"Security management involves identifying and protecting an organisation's assets (systems, people and buildings).",This skill level is currently not defined.,"You can:
- interpret and apply an understanding of policy and process, business architecture, and legal and political implications to assist the development of technical solutions or controls","You can:
- interpret and apply understanding across a complex area
- start influencing policy and process, business architecture, and legal and political implications","You can:
- challenge and lead changes to policy and processes to support business outcomes, business architecture, and legal and political implications",Security architect
User-centred analysis,,"You can:
- show an awareness that everything we do is focused on the user of the product or service","You can:
- use quantitative and qualitative data about users to turn user focus into outcomes
- deliver analysis and information that addresses stakeholder needs and provides recommendations
- effectively collaborate with user researchers and other user-focused professions
- guide others on approaches to understand user stories","You can:
- understand the difference between user needs and desires of the user
- demonstrate experience in meeting user needs across a variety of channels
- integrate digital analytics with qualitative data, such as user surveys and user research, to develop hypotheses for testing
- offer recommendations on the best tools and methods to use","You can:
- give direction on which tools or methods to use
- bring insight and expertise to how user needs have changed over time and ensure that they're met
- apply strategic thinking to the problem of how to provide the best service for the end user
- consider the political strategy and implications of any analyses and insights",Performance analyst
User-centred content design,"User-centred content design involves focusing on user needs through an evidence-based and iterative design process, to ensure content is easy to use and understand.","You can:
- demonstrate basic but decent editorial standards
- show an awareness of style standards
- work well under supervision","You can
- design content to meet user needs and make complex language and processes easy to understand
- present the right information in the right format for what users need
- show robust experience in writing, editing and publishing digital content, and experience in using content management systems and content production processes to publish content
- write in plain language in a way that users understand, making information accessible to all
- understand government accessibility requirements and design content that works with common assistive technologies
- use data, research and evidence to review and evaluate content to make improvements
- consistently and effectively apply content standards and style guidelines to your work
- work to continuously improve content, and understand why content life cycle management is important
- work autonomously","You can:
- show a deep understanding of end-to-end journeys and how content is affected within these journeys
- identify where journey fixes or content improvements need to be made
- take responsibility for assuring the quality of content from more junior colleagues, and coaching and guiding them to improve
- ensure that content is regularly reviewed and evaluated, contributing to continuous improvements and iteration
- encourage a continuous improvement mindset in teams and more junior content colleagues
- deliver through others, and direct and critique their work","You can:
- direct the approach to content life cycle management to ensure content is regularly reviewed and evaluated by teams
- oversee teams’ work to ensure the right content is being produced to meet the needs of users
- demonstrate extensive experience in creating, iterating, managing and overseeing content across multiple channels
- encourage teams to review and evaluate the effectiveness of processes and systems, and support them to iterate for improvements
- be accountable for the production of high quality, user-focused content
- identify gaps in content design skills and capability, and can help teams to grow and develop","Content designer, Content strategist, Technical writer"
User-centred practice and advocacy,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,"You can:
- describe how government services and technology affect how people behave
- explain how user-centred practices are used to build services that adapt to changing user behaviour and needs","You can:
- describe and use a range of user-centred practices
- advocate for the user by sharing research insights on user needs and changing user behaviour with your team","You can:
- evaluate and choose approaches for building your team’s understanding of the user
- advocate for user research with sceptical colleagues and stakeholders
- help inexperienced teams to adopt user-centred practices
- identify the most important challenges and opportunities for your team's service development
- align research plans to address team priorities","You can:
- find ways to help an organisation adopt user-centred practices and appreciate the value of understanding users
- ensure discussions at senior levels or between organisations consider user needs and evolving user behaviour
- help an organisation understand the complete journey of the user and use this knowledge to improve their services",User researcher
User experience analysis,,"You can:
- understand the importance of making data-informed decisions based on user research findings
- support the analysis and prioritisation of user experience needs and understand how needs tie to system, product or service requirements","You can:
- apply basic techniques to analyse, validate and prioritise user experience needs
- present findings in an accessible and easy to understand way to support data-informed decision making, based on user research","You can:
- advise on the approach to analysis, prioritisation and validation of user experience needs
- recommend a range of techniques to analyse the user experience and ensure that it meets business and user needs
- articulate and communicate how user experience needs affect the design of a system in a project or programme of work",This skill level is currently not defined.,Business analyst
User focus,User focus involves understanding the user needs to develop a detailed understanding of the problems that need to be solved.,"You can:
- show an awareness or understanding of user experience analysis and its principles
- explain the purpose of user stories and the focus on user needs","You can:
- identify and engage with users or stakeholders to collate user needs evidence
- understand and define research that fits user needs
- use quantitative and qualitative data about users to turn user focus into outcomes","You can:
- collaborate with user researchers and can represent users internally
- explain the difference between user needs and the desires of the user
- champion user research to focus on all users
- prioritise and define approaches to understand the user story, guiding others in doing so
- offer recommendations on the best tools and methods to use","You can:
- give direction on which tools or methods to use
- demonstrate experience in meeting the needs of users across a variety of channels
- bring insight and expertise in how user needs have changed over time to ensure they're met by the business
- apply strategic thinking to provide the best service for the end user","Accessibility specialist, Content strategist, Technical writer, Development operations (DevOps) engineer, Software developer, Application operations engineer, Business relationship manager, Problem manager, Service desk manager, Incident manager, IT service manager, Command and control centre manager, End user computing engineer, Infrastructure operations engineer"
